Data Set 2:Time(s),Data Set 2:615 nm,Data Set 2:525 nm,Data Set 2:465 nm
8.25,11.771827,14.914872,9.674060
8.30,13.264030,16.805489,11.162374
8.35,13.264030,16.805489,11.162374
8.40,12.435028,14.704803,9.301979
8.45,12.435028,14.704803,9.301979
8.50,11.771826,13.864528,7.813662
8.55,11.771826,13.864528,7.813662
8.60,12.435028,14.704803,9.301979
8.65,12.435028,14.704803,9.301979
8.70,13.098228,15.545076,10.790294
8.75,13.098228,15.545076,10.790294
8.80,13.429831,18.065901,11.534455
8.85,13.429831,18.065901,11.534455
8.90,13.429831,18.065901,11.534455
8.95,13.429831,18.065901,11.534455
9.00,11.937626,13.024253,8.185740
9.05,11.937626,13.024253,8.185740
9.10,10.611224,10.293362,7.069504
9.15,10.611224,10.293362,7.069504
9.20,11.440226,10.293362,5.209108
9.25,11.440226,10.293362,5.209108
9.30,12.766628,10.923567,6.325345
9.35,12.766628,10.923567,6.325345
9.40,12.600828,9.663156,5.953266
9.45,12.600828,9.663156,5.953266
9.50,11.771826,9.663156,4.092870
9.55,11.771826,9.663156,4.092870
9.60,12.435028,10.503430,5.581187
9.65,12.435028,10.503430,5.581187
9.70,11.606026,8.402744,3.720792
9.75,11.606026,8.402744,3.720792
9.80,10.942824,8.612813,4.092870
9.85,10.942824,8.612813,4.092870
9.90,11.937626,8.822881,4.464949
9.95,11.937626,8.822881,4.464949
10.00,12.269227,9.243019,5.209108
