Data Set 1:Time(s),Data Set 1:Illuminance(lux),Data Set 1:615 nm,Data Set 1:525 nm,Data Set 1:465 nm,Data Set 2:Time(s),Data Set 2:Illuminance(lux),Data Set 2:615 nm,Data Set 2:525 nm,Data Set 2:465 nm,Data Set 3:Time(s),Data Set 3:Illuminance(lux),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm,Data Set 4:Time(s),Data Set 4:Illuminance(lux),Data Set 4:615 nm,Data Set 4:525 nm,Data Set 4:465 nm,Data Set 5:Time(s),Data Set 5:Illuminance(lux),Data Set 5:615 nm,Data Set 5:525 nm,Data Set 5:465 nm,Data Set 6:Time(s),Data Set 6:Illuminance(lux),Data Set 6:615 nm,Data Set 6:525 nm,Data Set 6:465 nm,Data Set 7:Time(s),Data Set 7:Illuminance(lux),Data Set 7:615 nm,Data Set 7:525 nm,Data Set 7:465 nm
21.00,38.2,,,,1.05,,7.792617,7.772538,4.464949,21.00,,19.232843,22.267273,20.836433,21.00,,12.103427,16.385351,19.720196,21.00,,12.766628,16.175282,19.348116,21.00,,17.740639,9.873224,4.464949,1.05,,0.165800,1.260412,0.372079
22.00,38.6,,,,1.10,,8.787420,7.982607,4.837030,22.00,,34.154877,31.720360,30.138412,22.00,,11.606026,15.755146,20.464354,22.00,,12.600829,17.015558,18.976038,22.00,,17.740639,9.873224,4.464949,1.10,,0.331601,0.420137,0.744158
23.00,40.0,,,,1.15,,8.787420,7.982607,4.837030,23.00,,41.450092,45.164749,46.509895,23.00,,11.606026,15.755146,20.464354,23.00,,13.098228,16.595419,20.092274,23.00,,13.264030,8.402744,3.720792,1.15,,0.331601,0.420137,0.744158
24.00,39.8,,,,1.20,,8.290018,8.402744,3.720792,24.00,,40.123692,44.534546,45.393661,24.00,,11.606026,15.755146,20.464354,24.00,,13.098228,16.595419,20.092274,24.00,,8.953220,5.041647,1.488317,1.20,,0.000000,0.630206,1.116238
25.00,39.4,,,,1.25,,8.290018,8.402744,3.720792,25.00,,39.294689,43.484203,45.393661,25.00,,12.103427,16.385351,19.720196,25.00,,13.098228,16.595419,20.092274,25.00,,6.797815,3.361098,0.372079,1.25,,0.000000,0.630206,1.116238
26.00,39.6,,,,1.30,,7.792617,7.772538,4.464949,26.00,,1.160603,2.520823,2.604554,26.00,,12.103427,16.385351,19.720196,26.00,,13.429831,17.015558,20.836433,26.00,,12.269227,3.991304,0.000000,1.30,,0.000000,0.630206,1.116238
27.00,39.8,,,,1.35,,7.792617,7.772538,4.464949,27.00,,40.455288,54.407768,44.277420,27.00,,12.766628,16.175282,19.348116,27.00,,13.429831,17.015558,20.836433,27.00,,17.409039,4.201372,0.000000,1.35,,0.000000,0.630206,1.116238
28.00,39.8,,,,1.40,,8.290018,8.402744,3.720792,28.00,,35.647079,36.762005,33.487125,28.00,,12.435028,16.805489,20.464354,28.00,,13.429831,17.015558,20.836433,28.00,,14.258832,3.361098,0.000000,1.40,,0.000000,0.630206,1.116238
29.00,39.8,,,,1.45,,8.290018,8.402744,3.720792,29.00,,36.807682,36.131802,34.231285,29.00,,12.435028,16.805489,20.464354,29.00,,13.098228,16.595419,20.092274,29.00,,8.621619,2.520823,0.744159,1.45,,0.000000,0.630206,1.116238
30.00,41.0,,,,1.50,,8.787420,7.982607,4.837030,30.00,,23.709452,28.989466,23.440985,30.00,,13.098228,16.595419,20.092274,30.00,,13.098228,16.595419,20.092274,30.00,,6.963615,2.520823,0.744159,1.50,,0.000000,0.630206,1.116238
